ID^Time^CurrentState^Temperatures^Humidity^WindDirection^WindSpeed^WaveHeight^WaveSpeed^Position^ForwardVector^Distance^Depth^Direction
1^2020-10-25 01:47:58 AM^Sunny^22.78711^78^(0.7, 0.0, 0.0)^19.52503^1^1^(0.0, 0.0, 0.0)^(0.0, 0.0, 0.0)^0^0^(0.0, 0.0, 0.0)
2^2020-10-25 01:48:07 AM^Sunny^-1.738769^4^(0.2, 0.5, 0.0)^23.58673^1^1^(0.0, 0.0, 0.0)^(0.0, 0.0, 0.0)^0^0^(0.0, 0.0, 0.0)
3^2020-10-25 01:48:07 AM^Sunny^-1.738769^4^(0.2, 0.5, 0.0)^23.58673^1^1^(0.0, 0.0, 0.0)^(0.0, 0.0, 0.0)^0^0^(0.0, 0.0, 0.0)
4^2020-10-25 01:51:24 AM^Cloudy^-19.88106^5^(0.6, -0.1, 0.0)^8.750465^1^1^(0.0, 0.0, 0.0)^(0.0, 0.0, 0.0)^0^0^(0.0, 0.0, 0.0)
5^2020-10-25 01:51:25 AM^Rain^12.3399^43^(0.0, 0.2, 0.0)^0.8836699^1^1^(0.0, 0.0, 0.0)^(0.0, 0.0, 0.0)^0^0^(0.0, 0.0, 0.0)
6^2020-10-25 01:51:26 AM^Rain^12.3399^43^(0.0, 0.2, 0.0)^0.8836699^1^1^(0.0, 0.0, 0.0)^(0.0, 0.0, 0.0)^0^0^(0.0, 0.0, 0.0)
7^2020-10-25 01:51:26 AM^Rain^12.3399^43^(0.0, 0.2, 0.0)^0.8836699^1^1^(0.0, 0.0, 0.0)^(0.0, 0.0, 0.0)^0^0^(0.0, 0.0, 0.0)
8^2020-10-25 01:51:26 AM^Rain^12.3399^43^(0.0, 0.2, 0.0)^0.8836699^1^1^(0.0, 0.0, 0.0)^(0.0, 0.0, 0.0)^0^0^(0.0, 0.0, 0.0)
9^2020-10-25 01:51:48 AM^Cloudy^27.4^50^(0.0, 0.0, 0.0)^0^1^1^(0.0, 0.0, 0.0)^(0.0, 0.0, 0.0)^0^0^(0.0, 0.0, 0.0)
10^2020-10-25 01:52:01 AM^Cloudy^41.77569^62^(0.7, -0.2, 0.0)^16.65128^1^1^(0.0, 0.0, 0.0)^(0.0, 0.0, 0.0)^0^0^(0.0, 0.0, 0.0)
11^2020-10-25 01:52:05 AM^Rain^16.64937^29^(-0.2, 0.8, 0.0)^11.60047^1^1^(0.0, 0.0, 0.0)^(0.0, 0.0, 0.0)^0^0^(0.0, 0.0, 0.0)
12^2020-10-25 01:52:10 AM^Rain^16.64937^29^(-0.2, 0.8, 0.0)^11.60047^1^1^(0.0, 0.0, 0.0)^(0.0, 0.0, 0.0)^0^0^(0.0, 0.0, 0.0)
13^2020-10-25 01:53:23 AM^Cloudy^-3.304792^34^(0.7, -0.3, 0.0)^27.67091^1^1^(0.0, 0.0, 0.0)^(0.0, 0.0, 0.0)^0^0^(0.0, 0.0, 0.0)
