ID^Time^WindDirection^WindSpeed
1589^2020-07-27 17:00:45 PM^(-0.6, 0.7, 0.0)^8.010294
1590^2020-07-27 17:00:50 PM^(0.4, -0.5, 0.0)^8.938359
1591^2020-07-27 17:00:55 PM^(0.9, -0.4, 0.0)^12.6384
1592^2020-07-27 17:01:00 PM^(0.0, -0.5, 0.0)^14.73151
1593^2020-07-27 17:01:05 PM^(0.5, -0.5, 0.0)^24.55569
1594^2020-07-27 17:01:10 PM^(0.6, 0.7, 0.0)^29.06564
1595^2020-07-27 17:01:15 PM^(-0.3, -0.6, 0.0)^22.21352
1596^2020-07-27 17:01:20 PM^(-0.5, 0.0, 0.0)^13.33142
1597^2020-07-27 17:01:25 PM^(0.2, 0.4, 0.0)^19.44279
1598^2020-07-27 17:01:30 PM^(0.4, -0.4, 0.0)^8.342849
1599^2020-07-27 17:01:35 PM^(0.2, 0.4, 0.0)^0.5325329
1600^2020-07-27 17:01:40 PM^(0.7, 0.5, 0.0)^14.89683
1601^2020-07-27 17:01:45 PM^(0.2, 0.4, 0.0)^20.60722
1602^2020-07-27 17:01:50 PM^(-0.1, -0.3, 0.0)^7.076636
1603^2020-07-27 17:01:55 PM^(-0.8, 0.3, 0.0)^0.04603744
1604^2020-07-27 17:02:00 PM^(0.0, 0.9, 0.0)^19.79671
1605^2020-07-27 17:02:05 PM^(-0.1, 0.2, 0.0)^19.55645
1606^2020-07-27 17:02:10 PM^(0.6, 0.4, 0.0)^5.475526
1607^2020-09-03 18:06:49 PM^(-0.6, 0.5, 0.0)^17.33039
1608^2020-09-03 18:06:54 PM^(0.8, 0.2, 0.0)^14.6088
1609^2020-09-03 18:06:59 PM^(0.2, -0.9, 0.0)^4.941491
1610^2020-09-03 18:07:04 PM^(0.2, 0.2, 0.0)^15.87305
1611^2020-09-03 18:07:09 PM^(0.2, 0.2, 0.0)^29.18124
1612^2020-09-03 18:07:14 PM^(-0.6, 0.7, 0.0)^15.50543
1613^2020-09-03 18:07:19 PM^(-0.2, 0.4, 0.0)^16.23224
1614^2020-09-03 18:07:24 PM^(0.5, 0.8, 0.0)^1.947577
1615^2020-09-03 18:07:29 PM^(-1.0, 0.1, 0.0)^8.870293
1616^2020-09-03 18:07:34 PM^(0.4, 0.3, 0.0)^9.772659
1617^2020-09-03 18:07:39 PM^(-0.7, -0.4, 0.0)^12.41607
1618^2020-09-03 18:07:44 PM^(-0.1, 0.5, 0.0)^13.2731
1619^2020-09-03 18:07:49 PM^(0.7, 0.7, 0.0)^11.37085
1620^2020-09-03 18:07:54 PM^(0.1, 0.0, 0.0)^18.57627
1621^2020-09-03 18:07:59 PM^(0.0, 0.0, 0.0)^29.45511
1622^2020-09-03 18:08:04 PM^(-0.7, -0.6, 0.0)^16.86328
1623^2020-09-03 18:08:09 PM^(0.5, -0.6, 0.0)^13.92227
1624^2020-09-03 18:08:14 PM^(0.4, -0.2, 0.0)^27.90147
1625^2020-09-03 18:08:19 PM^(-0.8, 0.0, 0.0)^27.69212
1626^2020-09-03 18:08:24 PM^(0.1, -0.5, 0.0)^4.728634
1627^2020-09-03 18:08:29 PM^(0.0, 0.3, 0.0)^3.263655
1628^2020-09-03 18:08:34 PM^(-0.4, -0.4, 0.0)^11.20853
1629^2020-09-03 18:08:39 PM^(0.0, 0.6, 0.0)^11.09252
1630^2020-09-03 18:08:44 PM^(0.1, 0.7, 0.0)^14.35161
1631^2020-09-03 18:08:49 PM^(-0.2, 0.7, 0.0)^9.749931
1632^2020-09-03 18:08:54 PM^(0.1, 0.2, 0.0)^22.8843
1633^2020-09-03 18:08:59 PM^(-0.2, -0.6, 0.0)^9.155565
1634^2020-09-03 18:09:04 PM^(-0.2, -0.5, 0.0)^2.761277
1635^2020-09-03 18:09:09 PM^(-0.2, -0.2, 0.0)^8.314431
1636^2020-09-03 18:09:14 PM^(-0.1, -0.7, 0.0)^9.061802
1637^2020-09-03 18:09:19 PM^(-0.7, 0.1, 0.0)^18.02184
1638^2020-09-03 18:09:24 PM^(0.0, 0.2, 0.0)^13.44779
1639^2020-09-03 18:09:29 PM^(0.4, 0.0, 0.0)^19.08986
1640^2020-09-03 18:09:34 PM^(-0.9, -0.2, 0.0)^8.294168
1641^2020-09-03 18:09:39 PM^(-0.5, -0.4, 0.0)^24.60168
1642^2020-09-03 18:09:44 PM^(-0.4, -0.1, 0.0)^24.42934
1643^2020-09-03 18:09:49 PM^(-0.3, 0.6, 0.0)^20.74875
1644^2020-09-03 18:09:54 PM^(0.3, 0.3, 0.0)^22.19852
1645^2020-09-03 18:09:59 PM^(-0.8, 0.3, 0.0)^2.687141
